[GA PARAMETERS] (Generation - Population - Crossover(%) - Mutation(%) - Elitism Rate(%) - Nugget/Sill Max(%))
5
100
90
10
1
30

[SA PARAMETERS] (Number of iterations - Initial Temperature  # Recomendation: 500 - 500)
500
500

[GEOESTATISTICAL PARAMETERS] (Min/Max: Angle - Tolerance(half-window) - Bandwidth(h) - Lag Distance- Number of Lags
0/180
10/90
10/150
10/100
5/50

[DATA]
621.24 939.47	45.62
528.85	936.71	48.51
528.13	932.75	46.17
536.67	920.36	45.57
533.61	922.93	46.86
530.54	925.5	43.62
527.8	928.46	44.28
533.91	919.41	43.37
552.45	930.62	49.72
553.19	922.16	50.61
554.07	916.21	49.37
555.2	911.34	48.13
550.35	914.11	47.79
552.13	910	43.26
552.62	904.37	47.16
550.63	923	47.38
552.15	917.81	47.82
549.79	900.22	47.22
550.32	906.3	47.41
546.28	924.04	47.6
548.12	919.23	48.15
542.19	926.17	49.92
543.33	921.3	47.14
546.07	918.35	46.56
538.98	922.34	46.67
537.59	926.12	48.76
538.12	932.2	43.1
523.35	881.93	48.78
522.15	867.28	45.76
555.96	906.79	47.03
566.87	915.91	47.71
556.63	915.36	50.19
525.33	879.62	45.87
525.5	883.72	45.4
546.52	880.76	49.83
546.43	863.54	45.2
550.04	881.07	47.68
539.83	872.02	47.9
544.54	862.84	46.16
535.29	871.26	47.22
540.08	869.2	44
529.65	870.77	47.49
527.48	871.29	46.15
527.67	873.08	48.87
528.07	876.67	47.79
531.46	874.48	48.43
531.41	879.09	48.21
530.9	880.82	46.15
530.65	883.64	47.25
535.62	875.55	49.39
532.71	884.52	45.38
536.03	883.04	46.17
529.9	867.95	48.38
535.59	867.74	46.42
539.44	868.43	45.6
544.31	869.57	47.69
550.95	866.6	47.44
544.06	872.39	49.59
546.03	876.29	48.47
549.25	873.91	50.47
550.61	878.64	50.11
544.96	874.24	48.76
498.19	881.51	50.38
498.5	886.14	49.41
499.04	867.74	46.1
500.02	872.79	46.31
500.1	879.9	50.77
499.03	884.06	49.86
495.84	888.04	49.94
513.81	871.33	47.58
510.84	874.8	48.95
509.69	875.77	47.08
518.25	861.08	42.81
496.36	890.22	48.98
500.84	887.77	46.09
496.46	901.23	47.49
497.8	898.15	46.29
492.95	864.37	47.88
495.12	863.85	45.51
518.8	881.18	47.79
520.93	885.27	45.08
516.31	883.27	48.32
514.38	879.02	48.54
514.36	875.11	48.45
492.45	870	45.65
495.07	868.46	47.8
494.13	875.12	45.08
493.44	878.96	43.67
494.43	887.92	49.7
494.67	881.2	49.23
495.45	884.46	49.7
497.96	871.9	45.8
498.24	876.9	48.98
514.14	902.07	47.91
498.42	931.57	39.51
499.34	937.33	48.32
511.91	907.19	50.3
499.09	940.14	47.72
511.64	902.2	46.72
508.7	903.36	49.17
496.59	920.05	41.7
508.77	906.57	49.14
507.44	909.64	48.62
505.12	903.76	48.95
503.21	909.27	49.09
501.53	904.16	46.86
500.96	906.59	49.97
499.43	907.88	47.79
498.72	903.91	47.93
504.47	902.99	47.82
496.54	904.43	45.21
496.42	905.84	49.89
503.49	914.27	46.2
515.67	921.01	46.39
521.21	900.37	47.66
523.83	908.95	47.96
505.57	922.96	48.65
523.27	896.36	45.89
521.01	908.7	49.14
518.96	907.81	49.81
505.96	926.55	46.94
503.14	926.3	45.49
500.59	927.14	45.6
497.39	927.22	45.35
518.31	907.04	49.14
518.81	901.41	47.66
515.5	906.8	50.66
517.15	904.1	49.2
517.14	900.2	48.43
514.09	906.67	49.67
510.89	870.2	48.37
520.32	932.77	47.25
520.6	937.77	45.57
522.4	941.47	40.31
520.42	923.55	46.59
521.01	928.93	46.15
517.78	937.52	43.37
517.51	932.53	45.41
517.87	928.3	45.1
523.03	918.1	43.84
518.49	921.26	45.47
520.15	918.56	43.87
512.93	923.96	45.19
513.65	927.93	46.34
509.93	925.83	45.54
523.55	903.95	48.84
521.38	904.47	48.62
509.82	931.14	40.61
513.8	934.33	42.14
520.37	871.38	49.72
519.21	868.44	45.98
516.77	867.87	43.48
525.47	938.9	47.14
524.3	935.96	44.88
524.25	940.57	49.56
522.13	936.48	46.09
524.4	926.74	46.86
505.3	865.09	42.72
504.49	870.34	48.37
511.64	865.65	46.75
515.81	866.72	46.48
517.69	873.63	48.95
519.94	876.31	44.25
521.68	880.72	43.56
523.51	928.79	40.47
475.71	878.83	46.76
476.69	883.88	47.9
473.21	878.97	47.71
473.87	883.64	43.1
471.35	875.96	47.32
471.08	881.08	44.91
469.43	877.57	48.43
471.13	886.59	47.68
487.91	889.48	47.38
475.48	885.55	49.7
489.36	901.32	47.03
481.38	870.81	46.46
490.77	864.89	45.03
488.77	879.62	42.14
477.99	873	41.76
481.78	874.39	45.21
482.94	877.33	43.62
483.66	881.3	40.77
487.76	883.08	42.8
487.83	886.28	47.93
484.57	887.06	47.85
475.79	873.86	43.54
477.75	875.81	45.54
483.73	884.5	43.65
481.37	887.13	46.78
478.17	887.21	47.03
484.33	889.88	46.78
478.91	878.75	48.51
479.18	883.75	45.05
486.5	869.12	47.69
486.69	870.92	43.84
492.12	922.5	44.39
491.56	938.95	48.5
492.28	932.8	46.26
491.01	935.18	39.4
487.93	933.84	47.03
486.08	934.75	40.28
485.77	938.27	48.48
486.61	940.83	48.95
480.74	936.94	46.6
481.21	933.61	38.1
478.85	936.24	46.86
490.68	914.57	47.71
490.15	908.49	48.4
489.69	905.61	44.91
483.33	860.69	49.78
478.21	862.37	48.81
481.05	866.52	47.05
475.27	863.53	50.87
473.1	864.05	51.07
469.52	864.45	49.86
476.96	868.65	47.52
474.78	869.17	49.06
471.84	870.33	42.83
468.75	865.09	47.85
469.22	871.87	47.77
468.35	861.51	50.22
468.52	873.76	49.3
471.47	874.55	47.88
473.79	860.21	49.53
614.33	864.34	32.02
619	863.68	40.71
561.19	863.24	34.04
566.38	864.76	39.34
570.6	865.13	40.47
553.05	862.88	40.26
556.96	862.87	40.31
521.22	857.61	32.83
526.41	859.13	27.8
549.79	863.66	36.13
510.08	859.12	31.29
515.21	861.35	39.62
513.81	861.22	25.24
516.87	858.65	32.12
509.7	859.44	33.84
487.49	878.09	39.26
479.42	933.81	34.56

